序号,所属平台,订单号,下单用户,规格,总金额,运费,快递单号,快递公司
"	1","	微信","	20210928173458538630","	来时安","	颜色：灰色，",16.00,8.00,"	","	"
"	2","	微信","	20210928173421690104","	来时安","	套餐：观光塔，",139.00,0.00,"	","	"
"	3","	微信","	20210928171938654382","	神经蛙","	套餐：观光塔，",457.00,0.00,"	75814699343766","	中通快递"
"	4","	微信","	20210928171938654382","	神经蛙","	套餐：主楼+防尘罩，",457.00,0.00,"	75814699343766","	中通快递"
"	5","	微信","	20210928170024121661","	铣风","	规格：默认，",61.00,13.00,"	75814698866304","	中通快递"
"	6","	微信","	20210928150118621440","	青木","	规格：默认，",64.00,0.00,"	","	"
"	7","	微信","	20210928150056732203","	青木","	颜色：浅灰，",72.00,0.00,"	","	"
"	8","	微信","	20210928150023342935","	青木","	规格：默认，",120.00,,"	","	"
"	9","	微信","	20210928144512805798","	青木","	内存：32G，接口：2.0，",56.00,8.00,"	","	"
"	10","	微信","	20210928112452652495","	梓曦","	规格：默认，",298.00,0.00,"	","	"
"	11","	微信","	20210928112452652495","	梓曦","	规格：默认，",298.00,0.00,"	","	"
"	12","	微信","	20210928112452652495","	梓曦","	套餐：观光塔，",298.00,0.00,"	","	"
"	13","	微信","	20210928112452652495","	梓曦","	套餐：西电主楼，",298.00,0.00,"	","	"
"	14","	微信","	20210927010408461653","	Rachel","	规格：默认，",174.00,0.00,"	75814894984381","	中通快递"
"	15","	微信","	20210927010408461653","	Rachel","	套餐：主楼+防尘罩，",174.00,0.00,"	75814894984381","	中通快递"
"	16","	微信","	20210914154459529098","	鹿宥","	规格：好事将至，",68.40,,"	","	"
"	17","	微信","	20210914154459529098","	鹿宥","	规格：平安喜樂，",68.40,,"	","	"
"	18","	微信","	20210914154459529098","	鹿宥","	规格：默认，",68.40,,"	","	"
"	19","	微信","	20210914154459529098","	鹿宥","	规格：默认，",68.40,,"	","	"
"	20","	微信","	20210913091706862192","	theodore","	规格：默认，",48.00,,"	","	"
"	21","	微信","	20210912002515378041","	Lyk?","	规格：默认，",250.00,0.00,"	","	"
"	22","	微信","	20210910164034203869","	lyx（幸运版","	规格：默认，",10.00,,"	","	"
"	23","	微信","	20210909111356635594","	张赞","	套餐：观光塔，",139.00,0.00,"	75814699368944","	中通快递"
"	24","	微信","	20210907182212240282","	意有所极","	套餐：西电主楼，",139.00,0.00,"	75814699049411","	中通快递"
"	25","	微信","	20210907165438446460","	Lyk?","	规格：默认，",37.00,13.00,"	","	"
"	26","	微信","	20210907164909940676","	Loren","	尺码：XL，颜色：黑色，",98.00,0.00,"	","	"
"	27","	微信","	20210907164827338935","	Loren","	规格：默认，",156.00,0.00,"	","	"
"	28","	微信","	20210907164827338935","	Loren","	颜色：黄蓝，",156.00,0.00,"	","	"
"	29","	微信","	20210907164827338935","	Loren","	规格：默认，",156.00,0.00,"	","	"
"	30","	微信","	20210907164827338935","	Loren","	颜色：灰色，",156.00,0.00,"	","	"
"	31","	微信","	20210905174549688955","	Seraph","	束口包：420D，",24.00,8.00,"	75804708657587","	中通快递"
"	32","	微信","	20210905122137285184","	Lyk?","	规格：好事将至，",99.20,0.00,"	","	"
"	33","	微信","	20210905122137285184","	Lyk?","	规格：默认，",99.20,0.00,"	","	"
"	34","	微信","	20210905122137285184","	Lyk?","	规格：默认，",99.20,0.00,"	","	"
"	35","	微信","	20210905122137285184","	Lyk?","	颜色：黄色，",99.20,0.00,"	","	"
"	36","	微信","	20210905122137285184","	Lyk?","	规格：默认，",99.20,0.00,"	","	"
"	37","	微信","	20210905122137285184","	Lyk?","	规格：默认，",99.20,0.00,"	","	"
"	38","	微信","	20210905122137285184","	Lyk?","	小店自取（勿拍）：拍下则随机发货，",99.20,0.00,"	","	"
"	39","	微信","	20210905122137285184","	Lyk?","	颜色：红色，",99.20,0.00,"	","	"
"	40","	微信","	20210903171802120741","	96","	束口包：420D，",80.00,0.00,"	","	"
"	41","	微信","	20210902205748917560","	月晞","	规格：默认，",69.00,16.00,"	75804708494166","	中通快递"
"	42","	微信","	20210902205748917560","	月晞","	规格：默认，",69.00,16.00,"	75804708494166","	中通快递"
"	43","	微信","	20210902205748917560","	月晞","	类型：竖版（XDU），",69.00,16.00,"	75804708494166","	中通快递"
"	44","	微信","	20210726155257645429","	Chance","	规格：默认，",25.00,,"	","	"
"	45","	微信","	20210726155257645429","	Chance","	规格：默认，",25.00,,"	","	"
"	46","	微信","	20210726155257645429","	Chance","	规格：默认，",25.00,,"	","	"
"	47","	微信","	20210726081536417275","	意有所极","	套餐：观光塔，",139.00,0.00,"	75814699049411","	中通快递"
"	48","	微信","	20210720165140106990","	wjx","	颜色：浅灰，",19.00,,"	","	"
"	49","	微信","	20210720164820647903","	wjx","	规格：默认，",128.00,0.00,"	","	"
"	50","	微信","	20210720164701894438","	wjx","	规格：默认，",48.00,,"	","	"
"	51","	微信","	20210720164314784405","	wjx","	内存：32G，接口：2.0，",192.00,0.00,"	","	"
"	52","	微信","	20210716153022895527","	Mitsui","	规格：默认，",59.00,0.00,"	75488431754330","	中通快递"
"	53","	微信","	20210716153022895527","	Mitsui","	规格：默认，",59.00,0.00,"	75488431754330","	中通快递"
"	54","	微信","	20210716153022895527","	Mitsui","	规格：默认，",59.00,0.00,"	75488431754330","	中通快递"
"	55","	微信","	20210703202851102557","	秘制烤卤蛋","	套餐：观光塔，",139.00,0.00,"	75484076220108","	中通快递"
"	56","	微信","	20210703183818241984","	RPG","	束口包：420D，",27.00,11.00,"	75484076115096","	中通快递"
"	57","	微信","	20210628124220317065","	玫瑰少年","	套餐：观光塔成品，",159.00,0.00,"	75484078650011","	中通快递"
"	58","	微信","	20210625161011225469","	Ranker","	规格：默认，",53.00,13.00,"	75484076632707","	中通快递"
"	59","	微信","	20210625161011225469","	Ranker","	规格：默认，",53.00,13.00,"	75484076632707","	中通快递"
"	60","	微信","	20210624171711172299","	哔哩哔哩哒","	规格：默认，",15.00,,"	","	"
"	61","	微信","	20210623085013887070","	张美茹","	套餐：观光塔，",139.00,,"	","	"
"	62","	微信","	20210622134026491567","	404","	套餐：观光塔，",139.00,,"	","	"
"	63","	微信","	20210616170012200316","	而安","	套餐：观光塔，",139.00,,"	","	"
"	64","	微信","	20210615104941677396","	ms","	规格：默认，",37.00,13.00,"	75484077290552","	中通快递"
"	65","	微信","	20210609082515427069","	姜小新","	规格：平安喜樂，",133.20,0.00,"	75475684892715","	中通快递"
"	66","	微信","	20210609082515427069","	姜小新","	规格：明信片套装，",133.20,0.00,"	75475684892715","	中通快递"
"	67","	微信","	20210609082515427069","	姜小新","	规格：默认，",133.20,0.00,"	75475684892715","	中通快递"
"	68","	微信","	20210609082515427069","	姜小新","	规格：戒指，",133.20,0.00,"	75475684892715","	中通快递"
"	69","	微信","	20210606104247341758","	请叫我 小贱贱","	规格：平安喜樂，",96.00,0.00,"	","	"
